lower_bound_ip_address,upper_bound_ip_address,country
17039872.0,17040383,China
46661632.0,47185919,Germany
84602880.0,84606975,Azerbaijan
84611072.0,84615167,United Kingdom
86159360.0,86161407,Ukraine
86753280.0,86761471,Palestinian Territory Occupied
86798336.0,86802431,Switzerland
90544128.0,90546175,Russian Federation
92649472.0,92651519,United Kingdom
92659712.0,92663807,Azerbaijan
93704192.0,93708287,Ukraine
95625216.0,95633407,Ireland
95674368.0,95676415,Germany
100245504.0,100247551,Sweden
100313088.0,100315135,Russian Federation
241565696.0,241598463,India
243270656.0,243271679,New Zealand
243924992.0,243990527,Korea Republic of
247476224.0,247478271,Japan
401305600.0,401309695,United States
401367040.0,401371135,United States
402247680.0,402251775,United States
406236160.0,406237183,United States
408723456.0,408731647,United States
409993216.0,410025983,United States
410255360.0,410386431,United States
412106752.0,412123135,United States
417202176.0,417267711,Canada
418332672.0,418349055,United States
419430400.0,436207615,United Kingdom
456523776.0,456540159,Singapore
460263424.0,460267519,Nepal
460988416.0,460992511,Japan
462639104.0,462643199,Japan
462946304.0,463470591,China
520519680.0,520552447,Poland
520830976.0,520847359,Macedonia
520912896.0,520945663,Ukraine
521097216.0,521101311,Russian Federation
521547776.0,521551871,Albania
521568256.0,521601023,Portugal
522741760.0,522743807,Ukraine
522809344.0,522811391,Ukraine
522862592.0,522866687,Ukraine
523026432.0,523030527,Turkey
528656384.0,528658431,Czech Republic
528836608.0,528838655,Russian Federation
530710528.0,530841599,Russian Federation
530841600.0,530972671,Switzerland
531185664.0,531193855,Turkey
531202048.0,531234815,Czech Republic
531335168.0,531337215,Italy
532219904.0,532221951,Russian Federation
532299776.0,532303871,Russian Federation
532310016.0,532312063,Greece
532377600.0,532381695,Germany
532705280.0,532709375,Netherlands
533491712.0,533495807,Germany
534663168.0,534667263,Spain
606076928.0,606339071,China
622000128.0,622002175,Russian Federation
622481408.0,622483455,Albania
622624768.0,622626815,Norway
623828992.0,623837183,Ukraine
624492544.0,624558079,Ukraine
628881408.0,628883455,United Kingdom
628883456.0,629145599,Saudi Arabia
629991424.0,629993471,Netherlands
630491136.0,630493183,Germany
630740992.0,630743039,Spain
630833152.0,630849535,Netherlands
636049408.0,636051455,Finland
654311680.0,654311935,Australia
671088640.0,679477247,United States
691650560.0,691666943,Ghana
692838400.0,692842495,South Africa
693042176.0,693043199,Nigeria
693082112.0,693083135,Nigeria
699662336.0,699727871,South Africa
700186624.0,700203007,Madagascar
701300736.0,701308927,Cameroon
701612032.0,701628415,Egypt
701759488.0,701792255,Kenya
702324736.0,702328831,Mozambique
704724992.0,704741375,Viet Nam
710105088.0,710107135,China
711196672.0,711458815,China
714604544.0,714866687,Malaysia
772851712.0,772853759,Switzerland
772925440.0,772927487,United Kingdom
772960256.0,772962303,United Kingdom
773173248.0,773177343,Italy
773683200.0,773685247,France
773738496.0,773740543,Germany
773750784.0,773752831,Finland
773797888.0,773799935,Spain
773906432.0,773914623,United Kingdom
778305536.0,778371071,Iran (ISLAMIC Republic Of)
779354112.0,779485183,Israel
781537280.0,781541375,Ukraine
781570048.0,781574143,Poland
782516224.0,782532607,Iran (ISLAMIC Republic Of)
783134720.0,783138815,Russian Federation
783161344.0,783163391,Poland
786690048.0,786692095,Poland
786993152.0,786995199,Italy
787197952.0,787199999,France
787283968.0,787300351,Russian Federation
787681280.0,787683327,Iraq
787853312.0,787855359,Germany
788160512.0,788168703,Ukraine
788406272.0,788408319,Italy
788498432.0,788500479,Russian Federation
829423616.0,829947903,China
832339968.0,832348159,India
838434816.0,838467583,India
840843264.0,840847359,United States
855638016.0,872415231,United Kingdom
973275136.0,973307903,Japan
973996032.0,974127103,China
977600512.0,977666047,Philippines
980287488.0,980353023,Australia
982695936.0,982712319,Korea Republic of
983433216.0,983564287,Japan
1022361600.0,1022427135,Australia
1022820352.0,1022885887,China
1023692800.0,1023693823,China
1023979520.0,1023981567,Australia
1024720896.0,1024786431,Taiwan; Republic of China (ROC)
1026539520.0,1026555903,Korea Republic of
1027604480.0,1027866623,Taiwan; Republic of China (ROC)
1032241152.0,1032257535,China
1041104896.0,1041170431,Spain
1041367040.0,1041498111,Italy
1043079168.0,1043087359,Germany
1043357696.0,1043365887,Switzerland
1043595264.0,1043660799,Germany
1043988480.0,1044119551,Belgium
1044971520.0,1044979711,France
1045798912.0,1045807103,Italy
1045889024.0,1045921791,Spain
1047101440.0,1047109631,Russian Federation
1048903680.0,1048911871,United Kingdom
1049370624.0,1049378815,Austria
1049378816.0,1049395199,Egypt
1049960448.0,1049968639,United Kingdom
1051983872.0,1051992063,European Union
1052573696.0,1052639231,United Kingdom
1054457856.0,1054474239,Romania
1055367168.0,1055375359,Russian Federation
1065869312.0,1065873407,United States
1066237952.0,1066246143,United States
1066401792.0,1066926079,United States
1075380224.0,1075384319,United States
1076559872.0,1076625407,United States
1077432320.0,1077436415,United States
1078202368.0,1078206463,United States
1078214656.0,1078222847,United States
1078247424.0,1078251519,Canada
1079377920.0,1079443455,United States
1081139200.0,1081143295,United States
1082318848.0,1082322943,United States
1087504384.0,1087537151,United States
1089363968.0,1089372159,United States
1089396736.0,1089404927,United States
1096548352.0,1096810495,Canada
1097003520.0,1097004031,United States
1102516224.0,1102520319,United States
1102536704.0,1102544895,United States
1106247680.0,1106771967,United States
1107247104.0,1107255295,United States
